id,post_date,post_messsage,engagements
8836,2021/06/02 00:00:00,"dante poli fue detenido por fiesta clandestina en departamento
https   t co k zw iqdih",70.0
8840,2021/06/02 07:00:00,https   t co rjttfolde ,26.0
27701,2021/06/02 07:00:00,https   t co rjttfolde ,26.0
27700,2021/06/02 10:00:00," revisa el pronostico del tiempo   
https   t co pctlhuuq c",35.0
44561,2021/06/02 10:00:00, revisa el pronostico del tiempo ,35.0
8839,2021/06/02 10:00:00," revisa el pronostico del tiempo   
https   t co pctlhuuq c",35.0
8837,2021/06/02 11:14:00,"impactantes imagenes han dado la vuelta al mundo  
https   t co j qxr n gn",184.0
44559,2021/06/02 11:14:00,impactantes imagenes han dado la vuelta al mundo ,184.0
27698,2021/06/02 11:14:00,"impactantes imagenes han dado la vuelta al mundo  
https   t co j qxr n gn",184.0
27680,2021/06/02 14:00:00,"amparo noguera y las dificultades de su relacion a distancia con marcelo alonso
https   t co  cnqirksjp",131.0
44541,2021/06/02 14:00:00,amparo noguera y las dificultades de su relacion a distancia con marcelo alonso ,131.0
8819,2021/06/02 14:00:00,"amparo noguera y las dificultades de su relacion a distancia con marcelo alonso
https   t co  cnqirksjp",131.0
8818,2021/06/02 14:14:00,hoy jueves   de junio  rubionatural conversara  detuatu con patricio torres     no te lo pierdas  despues de  tele     https   t co f ezfsyokl,69.0
44540,2021/06/02 14:14:00,hoy jueves de junio rubionatural conversara detuatu con patricio torres no te lo pierdas despues de tele ,69.0
27679,2021/06/02 14:14:00,hoy jueves   de junio  rubionatural conversara  detuatu con patricio torres     no te lo pierdas  despues de  tele     https   t co f ezfsyokl,69.0
27678,2021/06/02 15:19:00, ya tenemos fecha de estreno      latorredemabel llega el lunes    de junio   https   t co xcxsjrgrad,528.0
44539,2021/06/02 15:19:00, ya tenemos fecha de estreno latorredemabel llega el lunes de junio ,528.0
8817,2021/06/02 15:19:00, ya tenemos fecha de estreno      latorredemabel llega el lunes    de junio   https   t co xcxsjrgrad,528.0
8816,2021/06/02 16:00:00,"la razon por la que amparo y emilia noguera no pueden actuar juntas
https   t co uagp igcbp",246.0
44538,2021/06/02 16:00:00,la razon por la que amparo y emilia noguera no pueden actuar juntas ,246.0
27677,2021/06/02 16:00:00,"la razon por la que amparo y emilia noguera no pueden actuar juntas
https   t co uagp igcbp",246.0
27676,2021/06/02 18:00:00,"amparo y emilia noguera recordaron grave accidente que sufrio su padre
https   t co qijqbr pdh",49.0
44537,2021/06/02 18:00:00,amparo y emilia noguera recordaron grave accidente que sufrio su padre ,49.0
8815,2021/06/02 18:00:00,"amparo y emilia noguera recordaron grave accidente que sufrio su padre
https   t co qijqbr pdh",49.0
8814,2021/06/02 19:00:00,don manuel tiene    años y recorre    kilometros diarios como suplementero https   t co uytzrfln e,71.0
44536,2021/06/02 19:00:00,don manuel tiene años y recorre kilometros diarios como suplementero ,71.0
27675,2021/06/02 19:00:00,don manuel tiene    años y recorre    kilometros diarios como suplementero https   t co uytzrfln e,71.0
27674,2021/06/02 20:00:00," somos como dos desconocidos   pato torres hablara de su separacion en de tu a tu
https   t co c s dgsrge",155.0
44535,2021/06/02 20:00:00, somos como dos desconocidos pato torres hablara de su separacion en de tu a tu ,155.0
8813,2021/06/02 20:00:00," somos como dos desconocidos   pato torres hablara de su separacion en de tu a tu
https   t co c s dgsrge",155.0
8812,2021/06/02 21:00:00,director del isp indico que reacciones adversas a vacuna cansino son por ansiedad https   t co dgdyj  vnk,191.0
44534,2021/06/02 21:00:00,director del isp indico que reacciones adversas a vacuna cansino son por ansiedad ,191.0
27673,2021/06/02 21:00:00,director del isp indico que reacciones adversas a vacuna cansino son por ansiedad https   t co dgdyj  vnk,191.0
27671,2021/06/02 22:00:00,aqui somos todos   capitulo     https   t co owwps cn e,48.0
44532,2021/06/02 22:00:00,aqui somos todos capitulo ,48.0
8810,2021/06/02 22:00:00,aqui somos todos   capitulo     https   t co owwps cn e,48.0
8822,2021/06/03 00:00:00,"misterio por crimen de concejal electo en llanquihue
https   t co b g sdllyp",35.0
44544,2021/06/03 00:00:00,misterio por crimen de concejal electo en llanquihue ,35.0
27683,2021/06/03 00:00:00,"misterio por crimen de concejal electo en llanquihue
https   t co b g sdllyp",35.0
27686,2021/06/03 09:08:00,"amparo noguera se refirio al dolor de perder a su madre
https   t co  ejlo po t",68.0
44547,2021/06/03 09:08:00,amparo noguera se refirio al dolor de perder a su madre ,68.0
8825,2021/06/03 09:08:00,"amparo noguera se refirio al dolor de perder a su madre
https   t co  ejlo po t",68.0
8824,2021/06/03 10:00:00," raquel argandoña regresa a  bienvenidos  
https   t co  fzainvvxe",381.0
44546,2021/06/03 10:00:00, raquel argandoña regresa a bienvenidos ,381.0
27685,2021/06/03 10:00:00," raquel argandoña regresa a  bienvenidos  
https   t co  fzainvvxe",381.0
27684,2021/06/03 11:00:00,"amparo noguera y la maternidad   nunca me propuse no ser mama 
https   t co qz gixm i ",44.0
44545,2021/06/03 11:00:00,amparo noguera y la maternidad nunca me propuse no ser mama ,44.0
8823,2021/06/03 11:00:00,"amparo noguera y la maternidad   nunca me propuse no ser mama 
https   t co qz gixm i ",44.0
8789,2021/06/03 13:00:00, la nueva temporada de  masterchefchile trae de regreso a yann yvin    pronto https   t co zgglj vsj ,103.0
44511,2021/06/03 13:00:00, la nueva temporada de masterchefchile trae de regreso a yann yvin pronto ,103.0
27650,2021/06/03 13:00:00, la nueva temporada de  masterchefchile trae de regreso a yann yvin    pronto https   t co zgglj vsj ,103.0
27649,2021/06/03 13:30:00,"pato torres le revelo el  truco de la moneda  a martin carcamo
https   t co ow kodqvdv",40.0
44510,2021/06/03 13:30:00,pato torres le revelo el truco de la moneda a martin carcamo ,40.0
8788,2021/06/03 13:30:00,"pato torres le revelo el  truco de la moneda  a martin carcamo
https   t co ow kodqvdv",40.0
8787,2021/06/03 14:00:00, abre tu ventana a los capitulos estrenos de  culturatarde      https   t co  oyybchsxi,31.0
44509,2021/06/03 14:00:00, abre tu ventana a los capitulos estrenos de culturatarde ,31.0
27648,2021/06/03 14:00:00, abre tu ventana a los capitulos estrenos de  culturatarde      https   t co  oyybchsxi,31.0
27647,2021/06/03 15:00:00,el presidente tendra que rescatar su propio avion    hoy viernes   de junio  avion presidencial  en  grandes eventos  despues de  tele   https   t co bwptge xuv,29.0
44508,2021/06/03 15:00:00,el presidente tendra que rescatar su propio avion hoy viernes de junio avion presidencial en grandes eventos despues de tele ,29.0
8786,2021/06/03 15:00:00,el presidente tendra que rescatar su propio avion    hoy viernes   de junio  avion presidencial  en  grandes eventos  despues de  tele   https   t co bwptge xuv,29.0
8785,2021/06/03 16:00:00,"pato torres y la sentida disculpa de su padre
https   t co bmg  j  pc",78.0
44507,2021/06/03 16:00:00,pato torres y la sentida disculpa de su padre ,78.0
27646,2021/06/03 16:00:00,"pato torres y la sentida disculpa de su padre
https   t co bmg  j  pc",78.0
27644,2021/06/03 16:17:00,"dos destacadas actrices son parte del elenco de  latorredemabel  coca guazzini y malucha pinto   
https   t co oe jpetrh ",56.0
44505,2021/06/03 16:17:00,dos destacadas actrices son parte del elenco de latorredemabel coca guazzini y malucha pinto ,56.0
8783,2021/06/03 16:17:00,"dos destacadas actrices son parte del elenco de  latorredemabel  coca guazzini y malucha pinto   
https   t co oe jpetrh ",56.0
8781,2021/06/03 18:00:00,una tarde de alto impacto en el             la  copaamerica y  latorredemabel  lunes    de junio desde las       hrs https   t co y   wmqmzd,115.0
44503,2021/06/03 18:00:00,una tarde de alto impacto en el la copaamerica y latorredemabel lunes de junio desde las hrs ,115.0
27642,2021/06/03 18:00:00,una tarde de alto impacto en el             la  copaamerica y  latorredemabel  lunes    de junio desde las       hrs https   t co y   wmqmzd,115.0
27641,2021/06/03 19:00:00,"pato torres compartio insolita anecdota que vivio con thalia
https   t co n ze tnotz",110.0
44502,2021/06/03 19:00:00,pato torres compartio insolita anecdota que vivio con thalia ,110.0
8780,2021/06/03 19:00:00,"pato torres compartio insolita anecdota que vivio con thalia
https   t co n ze tnotz",110.0
8778,2021/06/03 20:00:00,"vecinos del condominio los arrayanes de la florida denunciaron la  toma vip  de una casa de      millones  
https   t co r qswyydcn",221.0
44500,2021/06/03 20:00:00,vecinos del condominio los arrayanes de la florida denunciaron la toma vip de una casa de millones ,221.0
27639,2021/06/03 20:00:00,"vecinos del condominio los arrayanes de la florida denunciaron la  toma vip  de una casa de      millones  
https   t co r qswyydcn",221.0
27635,2021/06/03 21:00:00,mabel llega con su particular emprendimiento el lunes    de junio despues del partido chile vs argentina     imperdible estreno   latorredemabel   https   t co rlqz i  zi,149.0
44496,2021/06/03 21:00:00,mabel llega con su particular emprendimiento el lunes de junio despues del partido chile vs argentina imperdible estreno latorredemabel ,149.0
8774,2021/06/03 21:00:00,mabel llega con su particular emprendimiento el lunes    de junio despues del partido chile vs argentina     imperdible estreno   latorredemabel   https   t co rlqz i  zi,149.0
8773,2021/06/03 22:00:00,el presidente tendra que rescatar su propio avion    hoy viernes   de junio  avion presidencial  en  grandes eventos  despues de  tele   https   t co yrlncslusd,48.0
44495,2021/06/03 22:00:00,el presidente tendra que rescatar su propio avion hoy viernes de junio avion presidencial en grandes eventos despues de tele ,48.0
27634,2021/06/03 22:00:00,el presidente tendra que rescatar su propio avion    hoy viernes   de junio  avion presidencial  en  grandes eventos  despues de  tele   https   t co yrlncslusd,48.0
27633,2021/06/03 22:45:00, ya comienza  grandes eventos    avionpresidencial      https   t co rixipq gjf https   t co iza  cwt g,73.0
44494,2021/06/03 22:45:00, ya comienza grandes eventos avionpresidencial ,73.0
8772,2021/06/03 22:45:00, ya comienza  grandes eventos    avionpresidencial      https   t co rixipq gjf https   t co iza  cwt g,73.0
8798,2021/06/04 00:00:00,"pato torres hablo sobre la dura muerte de su madre   me derrumbe 
https   t co kuldbs qr ",49.0
44520,2021/06/04 00:00:00,pato torres hablo sobre la dura muerte de su madre me derrumbe ,49.0
27659,2021/06/04 00:00:00,"pato torres hablo sobre la dura muerte de su madre   me derrumbe 
https   t co kuldbs qr ",49.0
27669,2021/06/04 07:17:00,"martin carcamo tuvo una sincera conversacion con el actor  comediante y locutor pato torres
https   t co  efeatgalp",76.0
44530,2021/06/04 07:17:00,martin carcamo tuvo una sincera conversacion con el actor comediante y locutor pato torres ,76.0
8808,2021/06/04 07:17:00,"martin carcamo tuvo una sincera conversacion con el actor  comediante y locutor pato torres
https   t co  efeatgalp",76.0
8807,2021/06/04 09:00:00,el presidente tendra que rescatar su propio avion    hoy viernes   de junio  avion presidencial  en  grandes eventos  despues de  tele   https   t co eoghdxuedt,55.0
44529,2021/06/04 09:00:00,el presidente tendra que rescatar su propio avion hoy viernes de junio avion presidencial en grandes eventos despues de tele ,55.0
27668,2021/06/04 09:00:00,el presidente tendra que rescatar su propio avion    hoy viernes   de junio  avion presidencial  en  grandes eventos  despues de  tele   https   t co eoghdxuedt,55.0
27667,2021/06/04 09:15:00," se acabo la espera 
https   t co lar bqgxe ",71.0
44528,2021/06/04 09:15:00, se acabo la espera ,71.0
8806,2021/06/04 09:15:00," se acabo la espera 
https   t co lar bqgxe ",71.0
8804,2021/06/04 10:00:00,"pato torres y su separacion   lo que me pone triste es que el amor se haya acabado 
https   t co   mdx phqk",129.0
44526,2021/06/04 10:00:00,pato torres y su separacion lo que me pone triste es que el amor se haya acabado ,129.0
27665,2021/06/04 10:00:00,"pato torres y su separacion   lo que me pone triste es que el amor se haya acabado 
https   t co   mdx phqk",129.0
27664,2021/06/04 10:30:00,"joven falsamente vacunada entrego detalles de lo ocurrido
https   t co cgdyc ibgd",192.0
44525,2021/06/04 10:30:00,joven falsamente vacunada entrego detalles de lo ocurrido ,192.0
8803,2021/06/04 10:30:00,"joven falsamente vacunada entrego detalles de lo ocurrido
https   t co cgdyc ibgd",192.0
8799,2021/06/04 11:00:00,"peña lograr capturar a gilberto y los miembros del cartel de cali se ven en una situacion complicada   
https   t co iptvt weyk",23.0
44521,2021/06/04 11:00:00,peña lograr capturar a gilberto y los miembros del cartel de cali se ven en una situacion complicada ,23.0
27660,2021/06/04 11:00:00,"peña lograr capturar a gilberto y los miembros del cartel de cali se ven en una situacion complicada   
https   t co iptvt weyk",23.0
27627,2021/06/04 14:00:00,"jose miguel viñuela se refirio a su lucha contra la ansiedad y las crisis de panico
https   t co bjswgizpgo",43.0
44488,2021/06/04 14:00:00,jose miguel viñuela se refirio a su lucha contra la ansiedad y las crisis de panico ,43.0
8766,2021/06/04 14:00:00,"jose miguel viñuela se refirio a su lucha contra la ansiedad y las crisis de panico
https   t co bjswgizpgo",43.0
8763,2021/06/04 15:00:00,paloma moreno te invita al gran estreno de  latorredemabel el lunes    de junio despues del partido de chile vs argentina       https   t co qmbm xlgqe,166.0
8764,2021/06/04 15:00:00,alipio vera nos invita a conocer y disfrutar de los nuevos sabores de la patagonia    hoy sabado   de junio nuevo capitulo de  cronicas de la patagonia  en  culturaprime https   t co a kqqzhfs ,27.0
44485,2021/06/04 15:00:00,paloma moreno te invita al gran estreno de latorredemabel el lunes de junio despues del partido de chile vs argentina ,166.0
44486,2021/06/04 15:00:00,alipio vera nos invita a conocer y disfrutar de los nuevos sabores de la patagonia hoy sabado de junio nuevo capitulo de cronicas de la patagonia en culturaprime ,27.0
27624,2021/06/04 15:00:00,paloma moreno te invita al gran estreno de  latorredemabel el lunes    de junio despues del partido de chile vs argentina       https   t co qmbm xlgqe,166.0
27625,2021/06/04 15:00:00,alipio vera nos invita a conocer y disfrutar de los nuevos sabores de la patagonia    hoy sabado   de junio nuevo capitulo de  cronicas de la patagonia  en  culturaprime https   t co a kqqzhfs ,27.0
27622,2021/06/04 16:00:00,"viñuela y polemico episodio con camarografo   fue una estupidez de mi parte 
https   t co nqprejyjwk",106.0
44483,2021/06/04 16:00:00,viñuela y polemico episodio con camarografo fue una estupidez de mi parte ,106.0
8761,2021/06/04 16:00:00,"viñuela y polemico episodio con camarografo   fue una estupidez de mi parte 
https   t co nqprejyjwk",106.0
8757,2021/06/04 16:30:00," la famosa dupla de actores nos hara reir otra vez en la torre de mabel  

estreno lunes    de junio despues de chile vs argentina    https   t co bsnsq qpvj",137.0
44479,2021/06/04 16:30:00, la famosa dupla de actores nos hara reir otra vez en la torre de mabel estreno lunes de junio despues de chile vs argentina ,137.0
27618,2021/06/04 16:30:00," la famosa dupla de actores nos hara reir otra vez en la torre de mabel  

estreno lunes    de junio despues de chile vs argentina    https   t co bsnsq qpvj",137.0
27617,2021/06/04 17:00:00,su mision es protegernos    sos seguridad ciudadana  mañana domingo   de junio despues de  tele   https   t co qgtoo o aa,27.0
44478,2021/06/04 17:00:00,su mision es protegernos sos seguridad ciudadana mañana domingo de junio despues de tele ,27.0
8756,2021/06/04 17:00:00,su mision es protegernos    sos seguridad ciudadana  mañana domingo   de junio despues de  tele   https   t co qgtoo o aa,27.0
8755,2021/06/04 18:00:00,"jose miguel viñuela recordo su exitoso paso por  mekano 
https   t co i d htj xt",38.0
44477,2021/06/04 18:00:00,jose miguel viñuela recordo su exitoso paso por mekano ,38.0
27616,2021/06/04 18:00:00,"jose miguel viñuela recordo su exitoso paso por  mekano 
https   t co i d htj xt",38.0
27615,2021/06/04 19:00:00,"pandora tiene muchas preocupaciones y se va a complicar con el nuevo emprendimiento     

 latorredemabel estreno lunes    de junio despues de chile vs argentina       https   t co ougzikqwrh",139.0
44476,2021/06/04 19:00:00,pandora tiene muchas preocupaciones y se va a complicar con el nuevo emprendimiento latorredemabel estreno lunes de junio despues de chile vs argentina ,139.0
8754,2021/06/04 19:00:00,"pandora tiene muchas preocupaciones y se va a complicar con el nuevo emprendimiento     

 latorredemabel estreno lunes    de junio despues de chile vs argentina       https   t co ougzikqwrh",139.0
8753,2021/06/04 20:00:00,"jose miguel viñuela y estafa de alberto chang   me cuestione la vida 
https   t co j fsxnbekc",118.0
44475,2021/06/04 20:00:00,jose miguel viñuela y estafa de alberto chang me cuestione la vida ,118.0
27614,2021/06/04 20:00:00,"jose miguel viñuela y estafa de alberto chang   me cuestione la vida 
https   t co j fsxnbekc",118.0
27613,2021/06/04 21:00:00,alipio vera nos invita a conocer y disfrutar de los nuevos sabores de la patagonia    hoy sabado   de junio nuevo capitulo de  cronicas de la patagonia  en  culturaprime https   t co fk vcwqddj,96.0
